open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-28 07:30:00,89274.91,89274.91,89161.16,89250.99,60.98288,2026-01-28 07:44:59.999,5440467.81544060,24911,13.78240000,1229469.56631540,0
2026-01-28 07:45:00,89250.99,89288.62,89099.81,89134.35,192.59482,2026-01-28 07:59:59.999,17176791.04747750,21420,47.73632000,4257820.84628050,0
2026-01-28 08:00:00,89134.35,89258.02,89106.39,89146.01,153.08579,2026-01-28 08:14:59.999,13650100.05453610,42594,71.43029000,6368926.05597550,0
2026-01-28 08:15:00,89146.0,89167.78,88999.73,89026.7,171.42414,2026-01-28 08:29:59.999,15268210.28449990,26080,64.19730000,5717155.24013060,0
2026-01-28 08:30:00,89026.7,89112.0,89001.27,89097.6,46.82648,2026-01-28 08:44:59.999,4170363.24890020,18758,25.95394000,2311407.63223990,0
2026-01-28 08:45:00,89097.61,89097.61,88833.65,88925.47,144.11794,2026-01-28 08:59:59.999,12821449.85248800,28543,32.82434000,2920526.40760650,0
2026-01-28 09:00:00,88925.47,89009.46,88861.1,88944.0,102.51544,2026-01-28 09:14:59.999,9118119.86117670,23795,62.94631000,5598556.13661010,0
2026-01-28 09:15:00,88944.0,89016.03,88849.99,88994.87,85.51154,2026-01-28 09:29:59.999,7605087.14450510,25029,29.52645000,2625837.42099260,0
2026-01-28 09:30:00,88994.88,89444.41,88993.43,89319.28,159.8342,2026-01-28 09:44:59.999,14266584.88799840,44785,97.44149000,8695271.08061900,0
2026-01-28 09:45:00,89319.28,89567.26,89273.26,89567.25,143.08925,2026-01-28 09:59:59.999,12795158.21809670,32620,100.86538000,9020944.29547040,0
2026-01-28 10:00:00,89567.25,89616.48,89433.37,89567.26,358.87956,2026-01-28 10:14:59.999,32132672.82404580,57882,172.67415000,15460229.47294650,0
2026-01-28 10:15:00,89567.25,89703.87,89330.22,89341.07,156.43887,2026-01-28 10:29:59.999,13993281.87670480,51336,63.30051000,5663030.34504550,0
2026-01-28 10:30:00,89341.07,89500.01,89341.07,89493.9,99.34628,2026-01-28 10:44:59.999,8887938.42111040,26551,50.85059000,4549374.60048610,0
2026-01-28 10:45:00,89493.91,89510.0,89403.76,89403.77,73.78956,2026-01-28 10:59:59.999,6601499.35916060,24344,31.90827000,2854760.03516970,0
2026-01-28 11:00:00,89403.76,89471.26,89313.13,89332.26,90.73094,2026-01-28 11:14:59.999,8108585.78586850,34409,25.78779000,2304531.14143570,0
2026-01-28 11:15:00,89332.26,89461.41,89314.14,89456.89,97.43472,2026-01-28 11:29:59.999,8710418.09593140,24948,56.09480000,5014759.61497650,0
2026-01-28 11:30:00,89456.89,89670.0,89352.88,89667.52,227.8468,2026-01-28 11:44:59.999,20396039.83384640,33261,130.02230000,11641533.51088440,0
